Tamano del Vector;Coste A1; Coste A2
10;29401;326;
11;88449;386;
12;265557;537;
13;796994;613;
14;2391275;759;
15;7174237;872;
16;21523099;1120;
17;64569810;1229;
18;193709925;1476;
19;581130401;1602;
20;1743391817;1928;
21;5230176202;2103;
22;15690529351;2377;
23;47071588941;2539;
24;141214767711;3087;
25;423644304170;3268;
26;1270932913553;3611;
27;3812798741857;3859;
28;11438396226781;4361;
29;34315188681714;4580;
30;102945566046531;5131;
31;308836698141149;5370;
32;926510094425027;6114;
33;2779530283276834;6433;
34;8338590849832285;6920;
35;25015772549498817;7199;
36;75047317648498449;8133;
37;225141952945497530;8432;
38;675425858836494815;8993;
39;2026277576509486861;9389;
40;6078832729528463047;10371;
